date,inflation,unemployment,interest_rate,industrial_production,log_inflation,log_industrial_production
1978-04-01,63.9,6.1,6.89,50.0206,4.157319361383489,3.91243492057945
1978-05-01,64.5,6,7.36,50.254,4.1666652238017265,3.9170901457611644
1978-06-01,65,5.9,7.6,50.5801,4.174387269895637,3.9235582183058986
1978-07-01,65.5,6.2,7.81,50.5384,4.182050142641207,3.92273344336632
1978-08-01,65.9,5.9,8.04,50.7458,4.188138441508461,3.9268288558765234
1978-09-01,66.5,6,8.45,50.8744,4.197201947661808,3.92935985008142
1978-10-01,67.1,5.8,8.96,51.2559,4.206184043977636,3.936830733343714
1978-11-01,67.5,5.9,9.76,51.6514,4.212127597878484,3.9445173007162087
1978-12-01,67.9,6,10.03,51.909,4.21803603456465,3.949492185542621
1979-01-01,68.5,5.9,10.07,51.6278,4.22683374526818,3.944060287098544
1979-02-01,69.2,5.9,10.06,51.8752,4.237000862623624,3.948840833965117
1979-03-01,69.9,5.8,10.09,52.0446,4.247065649239764,3.9521010432812536
1979-04-01,70.6,5.8,10.01,51.4193,4.257030144499196,3.9400135883650726
1979-05-01,71.4,5.6,10.24,51.8856,4.268297869345539,3.9490412950262272
1979-06-01,72.2,5.7,10.29,51.8965,4.279440045898781,3.9492513505182645
1979-07-01,73,5.7,10.47,51.8097,4.290459441148391,3.9475773904219764
1979-08-01,73.7,6,10.94,51.4684,4.300002799195291,3.9409680271119263
1979-09-01,74.4,5.9,11.43,51.4597,4.309455941839047,3.940798977065909
1979-10-01,75.2,6,13.77,51.8334,4.320151230955794,3.9480347291239855
1979-11-01,76,5.9,13.18,51.7531,4.330733340286331,3.946484333732985
1979-12-01,76.9,6,13.78,51.7878,4.3425058765115985,3.9471546002904345
1980-01-01,78,6.3,13.82,52.0679,4.356708826689592,3.9525486360369553
1980-02-01,79,6.3,14.13,52.082,4.3694478524670215,3.9528193996207155
1980-03-01,80.1,6.3,17.19,51.87,4.383275854074314,3.9487405883633087
1980-04-01,80.9,6.9,17.61,50.8397,4.393213824064446,3.928677545438383
1980-05-01,81.7,7.5,10.98,49.589,4.403054001865957,3.9037690349418006
1980-06-01,82.5,7.6,9.47,48.9482,4.412798293340635,3.8907625960838574
1980-07-01,82.6,7.8,9.03,48.6039,4.414009680526933,3.8837037746004173
1980-08-01,83.2,7.7,9.61,48.7563,4.421247347827163,3.8868344198635105
1980-09-01,83.9,7.5,10.87,49.5608,4.429625613473161,3.903200198680701
1980-10-01,84.7,7.5,12.81,50.1908,4.439115601658009,3.9158317429699765
1980-11-01,85.6,7.5,15.85,51.0311,4.449685283147696,3.932435250791036
1980-12-01,86.4,7.2,18.9,51.3708,4.45898767581001,3.939069917649719
1981-01-01,87.2,7.5,19.08,51.0415,4.468204330914934,3.932639027319428
1981-02-01,88,7.4,15.93,50.824,4.477336814478207,3.9283686839642322
1981-03-01,88.6,7.4,14.7,51.0826,4.484131857611035,3.933443930417109
1981-04-01,89.1,7.2,15.72,50.858,4.489759334476764,3.9290374355872753
1981-05-01,89.7,7.5,18.52,51.1495,4.49647076906475,3.934752717178793
1981-06-01,90.5,7.5,19.1,51.4101,4.505349850705881,3.93983465121238
1981-07-01,91.5,7.2,19.04,51.7471,4.516338972281476,3.946368391927912
1981-08-01,92.2,7.4,17.82,51.6826,4.523960130562548,3.9451211678063842
1981-09-01,93.1,7.6,15.87,51.4337,4.533674184283021,3.9402935996451345
1981-10-01,93.4,7.9,15.08,51.0281,4.536891345234797,3.932376461382519
1981-11-01,93.8,8.3,13.31,50.435,4.541164856012179,3.9206853785067985
